avg_winning,avg_diff,loss_train,step_idx,avg_score
0.3,0.055,0.0,1000,0.28571
0.28,0.06,0.0,2000,0.26341
0.27,0.045,0.0,3000,0.24912
0.3,0.08,0.0,4000,0.27894
0.27,0.07,0.0,5000,0.24794
0.255,0.06,0.0,6000,0.23411
0.27,0.07,0.0,7000,0.24981
0.255,0.065,0.0,8000,0.2331
0.26,0.06,0.0,9000,0.2378
0.25,0.045,0.0,10000,0.22814
0.235,0.075,0.0,11000,0.21311
0.255,0.06,0.0,12000,0.23342
0.275,0.045,0.0,13000,0.25588
0.305,0.05,0.0,14000,0.28931
0.255,0.065,0.0,15000,0.23625
0.275,0.07,0.0,16000,0.25942
0.275,0.035,0.0,17000,0.25953
0.285,0.045,0.0,18000,0.27023
0.27,0.055,0.0,19000,0.25683
0.275,0.05,0.0,20000,0.26326
0.31,0.04,0.0,21000,0.30364
0.35,0.03,0.0,22000,0.34819
0.365,0.035,0.0,23000,0.36285
0.305,0.025,0.0,24000,0.30039
0.38,0.035,0.0,25000,0.37847
0.34,0.005,0.0,26000,0.33681
0.37,0.02,0.0,27000,0.37041
0.355,0.025,0.0,28000,0.35547
0.305,0.05,0.0,29000,0.30264
0.355,0.04,0.0,30000,0.35379
0.35,0.055,0.0,31000,0.34799
0.34,0.01,0.0,32000,0.33716
0.35,0.025,0.0,33000,0.34887
0.315,0.01,0.0,34000,0.31315
0.325,-0.005,0.0,35000,0.32137
0.35,0.025,0.0,36000,0.34625
0.31,0.02,0.0,37000,0.30484
0.37,0.015,0.0,38000,0.36861
0.38,0.025,0.0,39000,0.38068
0.38,0.005,0.0,40000,0.37824
0.4,0.005,0.0,41000,0.39849
0.3,0.025,0.0,42000,0.29532
0.315,0.045,0.0,43000,0.31101
0.35,0.015,0.0,44000,0.34375
0.3,0.03,0.0,45000,0.29653
0.38,0.005,0.0,46000,0.37848
0.34,0.025,0.0,47000,0.33863
0.32,0.025,0.0,48000,0.31622
0.335,0.04,0.0,49000,0.33061
0.34,0.015,0.0,50000,0.33711
0.36,0.025,0.0,51000,0.35547
0.335,0.025,0.0,52000,0.33137
0.375,0.015,0.0,53000,0.37062
0.365,0.015,0.0,54000,0.36211
0.38,0.015,0.0,55000,0.3764
0.38,0.025,0.0,56000,0.37859
0.395,0.015,0.0,57000,0.39494
0.42,0.005,0.0,58000,0.4204
0.42,0.03,0.0,59000,0.42452
0.44,0.01,0.0,60000,0.44203
0.4,0.02,0.0,61000,0.40343
0.46,0.01,0.0,62000,0.46831
0.445,-0.005,0.0,63000,0.45149
0.465,0.015,0.0,64000,0.46989
0.48,0.02,0.0,65000,0.48569
0.475,-0.005,0.0,66000,0.47949
0.49,0.01,0.0,67000,0.49914
0.5,0.025,0.0,68000,0.50828
0.455,0.005,0.0,69000,0.46268
0.455,0.015,0.0,70000,0.46156
0.475,-0.005,0.0,71000,0.48309
0.51,0.0,0.0,72000,0.51917
0.495,0.015,0.0,73000,0.50209
0.485,0.0,0.0,74000,0.49313
0.495,0.0,0.0,75000,0.50076
0.52,0.025,0.0,76000,0.5289
0.46,0.005,0.0,77000,0.46652
0.475,0.01,0.0,78000,0.48093
0.48,0.02,0.0,79000,0.4877
0.505,0.02,0.0,80000,0.51358
0.535,-0.005,0.0,81000,0.54381
0.475,0.01,0.0,82000,0.48213
0.51,0.015,0.0,83000,0.51699
0.5,0.015,0.0,84000,0.50739
0.465,0.02,0.0,85000,0.47295
0.505,0.005,0.0,86000,0.51421
0.53,0.005,0.0,87000,0.53827
0.505,0.01,0.0,88000,0.51281
0.52,0.01,0.0,89000,0.52739
0.485,0.015,0.0,90000,0.49184
0.49,0.025,0.0,91000,0.49814
0.475,0.03,0.0,92000,0.48181
0.56,0.02,0.0,93000,0.56961
0.515,0.0,0.0,94000,0.52267
0.525,0.02,0.0,95000,0.53215
0.55,0.035,0.0,96000,0.56014
0.53,0.0,0.0,97000,0.54063
0.555,0.01,0.0,98000,0.56599
0.505,0.02,0.0,99000,0.51066
0.56,0.02,0.0,100000,0.56903
0.51,0.01,0.0,101000,0.51728
0.525,0.005,0.0,102000,0.5342
0.57,0.0,0.0,103000,0.57753
0.49,0.02,0.0,104000,0.4994
0.525,0.015,0.0,105000,0.53392
0.505,0.01,0.0,106000,0.51272
0.525,0.025,0.0,107000,0.53255
0.525,0.025,0.0,108000,0.53355
0.54,0.02,0.0,109000,0.55002
0.495,0.005,0.0,110000,0.50299
0.535,0.025,0.0,111000,0.54475
0.54,0.01,0.0,112000,0.55028
0.47,0.015,0.0,113000,0.47828
0.51,0.02,0.0,114000,0.51999
0.56,0.015,0.0,115000,0.57103
0.535,0.01,0.0,116000,0.54533
0.535,0.005,0.0,117000,0.54143
0.57,0.005,0.0,118000,0.57861
0.54,0.015,0.0,119000,0.55149
0.59,0.04,0.0,120000,0.60183
0.53,0.02,0.0,121000,0.5377
0.585,0.01,0.0,122000,0.59422
0.52,0.01,0.0,123000,0.52852
0.51,0.02,0.0,124000,0.51945
0.52,0.01,0.0,125000,0.52948
0.575,0.03,0.0,126000,0.58399
0.57,0.01,0.0,127000,0.57851
0.555,0.015,0.0,128000,0.56259
0.59,0.0,0.0,129000,0.59819
0.56,0.02,0.0,130000,0.56994
0.57,0.01,0.0,131000,0.58007
0.56,0.02,0.0,132000,0.56987
0.555,0.025,0.0,133000,0.56456
0.575,0.03,0.0,134000,0.58407
0.58,0.03,0.0,135000,0.58693
0.54,0.0,0.0,136000,0.54737
0.585,0.015,0.0,137000,0.59551
0.53,0.005,0.0,138000,0.53934
0.56,0.015,0.0,139000,0.57027
0.6,0.01,0.0,140000,0.61168
0.585,0.03,0.0,141000,0.5959
0.56,0.015,0.0,142000,0.5678
0.585,-0.005,0.0,143000,0.59536
0.56,0.015,0.0,144000,0.56956
0.555,0.01,0.0,145000,0.56619
0.585,0.015,0.0,146000,0.5964
0.55,0.015,0.0,147000,0.56144
0.61,0.035,0.0,148000,0.62152
0.56,0.015,0.0,149000,0.57085
0.57,0.02,0.0,150000,0.57976
0.57,0.03,0.0,151000,0.58091
0.585,0.02,0.0,152000,0.59553
0.565,0.015,0.0,153000,0.57522
0.54,0.025,0.0,154000,0.54827
0.595,0.03,0.0,155000,0.60566
0.595,0.015,0.0,156000,0.60646
0.555,0.01,0.0,157000,0.56546
0.575,0.04,0.0,158000,0.5855
0.61,0.015,0.0,159000,0.62089
0.545,0.02,0.0,160000,0.55442
0.58,0.01,0.0,161000,0.59059
0.62,0.02,0.0,162000,0.63086
0.57,0.025,0.0,163000,0.58122
0.6,0.005,0.0,164000,0.61042
0.56,0.005,0.0,165000,0.57061
0.605,0.01,0.0,166000,0.61583
0.56,0.025,0.0,167000,0.56944
0.525,0.03,0.0,168000,0.5349
0.55,0.03,0.0,169000,0.55925
0.635,0.02,0.0,170000,0.64763
0.595,0.025,0.0,171000,0.60634
0.545,0.04,0.0,172000,0.55482
0.605,0.02,0.0,173000,0.61575
0.615,0.03,0.0,174000,0.62652
0.63,0.015,0.0,175000,0.64117
0.585,0.02,0.0,176000,0.59587
0.615,0.035,0.0,177000,0.62636
0.6,0.015,0.0,178000,0.61052
0.55,0.025,0.0,179000,0.55892
0.58,0.035,0.0,180000,0.59129
0.585,0.03,0.0,181000,0.59571
0.585,0.015,0.0,182000,0.59706
0.565,0.03,0.0,183000,0.57413
0.595,0.005,0.0,184000,0.60467
0.525,0.035,0.0,185000,0.53451
0.575,0.02,0.0,186000,0.58376
0.555,0.0,0.0,187000,0.56533
0.595,0.015,0.0,188000,0.60772
0.6,0.005,0.0,189000,0.61229
0.545,0.02,0.0,190000,0.55502
0.595,0.01,0.0,191000,0.60618
0.605,0.02,0.0,192000,0.61652
0.585,-0.01,0.0,193000,0.59672
0.555,0.015,0.0,194000,0.56494
0.58,-0.01,0.0,195000,0.59233
0.56,0.01,0.0,196000,0.57123
0.57,0.015,0.0,197000,0.58066
0.555,0.025,0.0,198000,0.56533
0.585,0.02,0.0,199000,0.59637
0.6,0.02,0.0,200000,0.61172
0.56,0.025,0.0,201000,0.56899
0.61,0.015,0.0,202000,0.62189
0.55,0.015,0.0,203000,0.5616
0.555,0.025,0.0,204000,0.56469
0.595,0.015,0.0,205000,0.60686
0.605,0.035,0.0,206000,0.6178
0.615,0.025,0.0,207000,0.62853
0.585,0.01,0.0,208000,0.59789
0.605,0.04,0.0,209000,0.61739
0.595,0.035,0.0,210000,0.60863
0.63,-0.005,0.0,211000,0.64396
0.62,0.015,0.0,212000,0.63488
0.56,0.02,0.0,213000,0.57266
0.61,0.01,0.0,214000,0.624
0.565,0.01,0.0,215000,0.5786
0.56,0.015,0.0,216000,0.57432
0.585,0.01,0.0,217000,0.59929
0.635,0.02,0.0,218000,0.65061
0.62,0.025,0.0,219000,0.63587
0.62,0.025,0.0,220000,0.63352
0.59,0.015,0.0,221000,0.60546
0.585,-0.01,0.0,222000,0.59947
0.59,0.015,0.0,223000,0.60618
0.615,0.0,0.0,224000,0.63065
0.61,0.015,0.0,225000,0.62474
0.605,0.015,0.0,226000,0.61982
0.55,0.0,0.0,227000,0.56455
0.575,0.015,0.0,228000,0.58874
0.59,0.02,0.0,229000,0.60576
0.625,0.01,0.0,230000,0.64085
0.54,0.025,0.0,231000,0.55334
0.605,0.01,0.0,232000,0.62034
0.645,0.025,0.0,233000,0.65941
0.57,0.005,0.0,234000,0.58241
0.625,0.03,0.0,235000,0.63879
0.615,-0.01,0.0,236000,0.63037
0.605,0.01,0.0,237000,0.61897
0.585,0.02,0.0,238000,0.59925
0.625,0.015,0.0,239000,0.64112
0.6,0.005,0.0,240000,0.61393
0.63,0.02,0.0,241000,0.64623
0.64,0.015,0.0,242000,0.65628
0.575,0.03,0.0,243000,0.58996
0.625,0.0,0.0,244000,0.64108
0.64,0.035,0.0,245000,0.65709
0.645,0.035,0.0,246000,0.66022
0.65,0.005,0.0,247000,0.66651
0.62,0.025,0.0,248000,0.63508
0.65,0.025,0.0,249000,0.66647
0.645,0.01,0.0,250000,0.66157
0.605,0.045,0.0,251000,0.623
0.645,0.01,0.0,252000,0.66326
0.62,0.03,0.0,253000,0.63804
0.645,0.005,0.0,254000,0.66354
0.625,0.025,0.0,255000,0.64271
0.65,0.02,0.0,256000,0.66755
0.65,0.01,0.0,257000,0.66629
0.635,0.025,0.0,258000,0.6521
0.62,0.015,0.0,259000,0.63628
0.7,0.015,0.0,260000,0.71768
0.645,0.015,0.0,261000,0.66324
0.665,0.01,0.0,262000,0.68329
0.64,0.035,0.0,263000,0.65781
0.64,0.02,0.0,264000,0.65772
0.68,0.01,0.0,265000,0.69813
0.61,0.01,0.0,266000,0.6277
0.675,0.02,0.0,267000,0.6957
0.675,0.025,0.0,268000,0.69298
0.66,0.02,0.0,269000,0.67794
0.665,0.015,0.0,270000,0.6832
0.64,0.01,0.0,271000,0.65628
0.62,0.025,0.0,272000,0.63628
0.645,0.015,0.0,273000,0.66141
0.655,0.02,0.0,274000,0.67289
0.665,0.02,0.0,275000,0.68305
0.71,0.015,0.0,276000,0.73006
0.68,0.025,0.0,277000,0.69873
0.665,0.015,0.0,278000,0.68391
0.69,0.015,0.0,279000,0.70922
0.675,0.035,0.0,280000,0.6929
0.665,0.015,0.0,281000,0.68301
0.66,0.015,0.0,282000,0.67727
0.665,0.025,0.0,283000,0.68209
0.69,0.015,0.0,284000,0.7072
0.665,0.015,0.0,285000,0.68311
0.665,0.02,0.0,286000,0.68296
0.715,0.01,0.0,287000,0.73292
0.645,0.015,0.0,288000,0.66287
0.68,0.025,0.0,289000,0.69884
0.69,0.01,0.0,290000,0.70688
0.69,0.015,0.0,291000,0.70633
0.665,0.025,0.0,292000,0.68031
0.675,0.015,0.0,293000,0.69264
0.665,0.025,0.0,294000,0.68199
0.64,0.015,0.0,295000,0.6566
0.695,0.01,0.0,296000,0.71199
0.705,0.005,0.0,297000,0.72284
0.66,0.015,0.0,298000,0.67762
0.67,0.015,0.0,299000,0.68854
0.655,0.015,0.0,300000,0.67292
0.695,0.01,0.0,301000,0.71313
0.685,0.0,0.0,302000,0.70162
0.7,0.01,0.0,303000,0.71757
0.675,0.02,0.0,304000,0.6936
0.665,0.02,0.0,305000,0.6836
0.67,0.01,0.0,306000,0.68994
0.7,0.005,0.0,307000,0.71892
0.69,0.02,0.0,308000,0.70806
0.675,0.02,0.0,309000,0.69337
0.635,0.01,0.0,310000,0.65301
0.675,0.02,0.0,311000,0.6952
0.695,0.01,0.0,312000,0.71372
0.675,0.03,0.0,313000,0.69324
0.675,0.015,0.0,314000,0.69383
0.66,0.015,0.0,315000,0.67872
0.675,0.01,0.0,316000,0.69336
0.69,0.015,0.0,317000,0.71007
0.7,0.015,0.0,318000,0.71988
0.69,0.01,0.0,319000,0.7074
0.665,0.005,0.0,320000,0.68328
0.67,0.01,0.0,321000,0.68832
0.665,0.005,0.0,322000,0.68267
0.665,0.015,0.0,323000,0.68386
0.68,0.01,0.0,324000,0.69824
0.64,0.025,0.0,325000,0.65656
0.695,0.005,0.0,326000,0.71425
0.68,0.01,0.0,327000,0.70014
0.675,0.01,0.0,328000,0.69387
0.665,0.025,0.0,329000,0.68225
0.67,0.02,0.0,330000,0.68852
0.68,0.035,0.0,331000,0.69832
0.655,0.025,0.0,332000,0.67408
0.665,0.01,0.0,333000,0.68355
0.68,0.01,0.0,334000,0.69869
0.71,0.02,0.0,335000,0.72893
0.675,0.03,0.0,336000,0.69317
0.695,0.01,0.0,337000,0.71543
0.695,0.01,0.0,338000,0.71332
0.665,0.015,0.0,339000,0.68305
0.655,0.035,0.0,340000,0.67431
0.64,0.03,0.0,341000,0.65861
0.69,0.02,0.0,342000,0.70959
0.69,0.015,0.0,343000,0.70901
0.695,0.015,0.0,344000,0.71449
0.635,0.01,0.0,345000,0.65416
0.68,0.035,0.0,346000,0.69952
0.685,0.02,0.0,347000,0.70388
0.68,0.015,0.0,348000,0.69964
0.66,0.01,0.0,349000,0.67783
0.64,0.025,0.0,350000,0.65758
0.66,0.03,0.0,351000,0.67618
0.685,0.025,0.0,352000,0.70159
0.64,0.005,0.0,353000,0.65804
0.685,0.005,0.0,354000,0.70344
0.69,0.01,0.0,355000,0.70809
0.665,0.01,0.0,356000,0.68219
0.7,0.02,0.0,357000,0.71853
0.685,0.015,0.0,358000,0.70474
0.66,0.015,0.0,359000,0.67712
0.645,0.02,0.0,360000,0.66115
0.685,0.02,0.0,361000,0.70413
0.66,0.025,0.0,362000,0.67863
0.67,0.015,0.0,363000,0.68637
0.715,0.01,0.0,364000,0.73348
0.69,0.015,0.0,365000,0.7085
0.675,0.01,0.0,366000,0.69018
0.69,0.015,0.0,367000,0.70941
0.695,0.01,0.0,368000,0.71527
0.73,0.01,0.0,369000,0.74902
0.655,0.015,0.0,370000,0.67366
0.665,0.02,0.0,371000,0.6846
0.65,0.01,0.0,372000,0.66861
0.67,0.015,0.0,373000,0.6885
0.655,0.02,0.0,374000,0.67289
0.685,0.01,0.0,375000,0.70413
0.64,0.015,0.0,376000,0.65894
0.665,0.015,0.0,377000,0.68447
0.68,0.01,0.0,378000,0.69884
0.645,0.015,0.0,379000,0.66266
0.675,0.005,0.0,380000,0.69455
0.66,0.005,0.0,381000,0.68018
0.665,0.015,0.0,382000,0.68516
0.64,0.01,0.0,383000,0.66
0.65,0.02,0.0,384000,0.66781
0.69,0.015,0.0,385000,0.70816
0.675,0.01,0.0,386000,0.69289
0.705,0.015,0.0,387000,0.72306
0.67,0.015,0.0,388000,0.68823
0.7,0.02,0.0,389000,0.71909
0.69,0.02,0.0,390000,0.70996
0.7,0.015,0.0,391000,0.72091
0.7,0.015,0.0,392000,0.71921
0.67,0.01,0.0,393000,0.68832
0.695,0.01,0.0,394000,0.71396
0.685,0.015,0.0,395000,0.70479
0.665,0.015,0.0,396000,0.68326
0.675,0.015,0.0,397000,0.69361
0.68,0.02,0.0,398000,0.69748
0.68,0.015,0.0,399000,0.69883
0.65,0.025,0.0,400000,0.66801
0.655,0.015,0.0,401000,0.67274
0.645,0.015,0.0,402000,0.66254
0.685,0.005,0.0,403000,0.70378
0.71,0.025,0.0,404000,0.72946
0.735,0.01,0.0,405000,0.75501
0.66,0.005,0.0,406000,0.67909
0.68,0.01,0.0,407000,0.69837
0.64,0.015,0.0,408000,0.65631
0.68,0.005,0.0,409000,0.6971
0.67,0.015,0.0,410000,0.6886
0.69,0.01,0.0,411000,0.70792
0.665,0.005,0.0,412000,0.68253
0.665,0.005,0.0,413000,0.6832
0.66,0.005,0.0,414000,0.67835
0.64,0.0,0.0,415000,0.65729
0.66,0.015,0.0,416000,0.6778
0.705,0.01,0.0,417000,0.72544
0.68,0.02,0.0,418000,0.69984
0.67,0.025,0.0,419000,0.6896
0.675,0.015,0.0,420000,0.69133
0.675,0.01,0.0,421000,0.69354
0.685,0.015,0.0,422000,0.70358
0.67,0.02,0.0,423000,0.68851
0.625,0.02,0.0,424000,0.64362
0.665,0.01,0.0,425000,0.6828
0.705,0.02,0.0,426000,0.72257
0.66,0.005,0.0,427000,0.67684
0.675,0.0,0.0,428000,0.69289
0.7,0.01,0.0,429000,0.71849
0.69,0.005,0.0,430000,0.70737
0.67,0.01,0.0,431000,0.68866
0.67,0.01,0.0,432000,0.68745
0.7,0.01,0.0,433000,0.71672
0.67,0.02,0.0,434000,0.68896
0.685,0.015,0.0,435000,0.7042
0.65,0.005,0.0,436000,0.66931
0.66,0.01,0.0,437000,0.67945
0.655,0.01,0.0,438000,0.67347
0.68,0.01,0.0,439000,0.69748
0.655,0.015,0.0,440000,0.67331
0.7,0.01,0.0,441000,0.71834
0.7,0.015,0.0,442000,0.71945
0.69,0.02,0.0,443000,0.70919
0.675,0.005,0.0,444000,0.69514
0.635,0.025,0.0,445000,0.65278
0.645,0.005,0.0,446000,0.6628
0.67,0.005,0.0,447000,0.68992
0.675,0.015,0.0,448000,0.69289
0.68,0.02,0.0,449000,0.69863
0.64,0.015,0.0,450000,0.65799
0.675,0.005,0.0,451000,0.691
0.68,0.005,0.0,452000,0.69773
0.695,0.01,0.0,453000,0.7135
0.65,0.015,0.0,454000,0.66929
0.67,0.0,0.0,455000,0.68747
0.68,0.01,0.0,456000,0.69821
0.71,0.02,0.0,457000,0.72982
0.68,0.015,0.0,458000,0.69989
0.655,0.01,0.0,459000,0.67543
0.685,0.015,0.0,460000,0.70493
0.685,0.015,0.0,461000,0.703
0.665,0.015,0.0,462000,0.68442
0.66,0.01,0.0,463000,0.67947
0.67,0.015,0.0,464000,0.68979
0.67,0.02,0.0,465000,0.6899
0.645,0.01,0.0,466000,0.66332
0.68,0.005,0.0,467000,0.69938
0.69,0.01,0.0,468000,0.70652
0.685,0.01,0.0,469000,0.70344
0.64,0.02,0.0,470000,0.65778
0.685,0.01,0.0,471000,0.70428
0.655,0.01,0.0,472000,0.67375
0.67,0.01,0.0,473000,0.6893
0.69,0.015,0.0,474000,0.71126
0.7,0.015,0.0,475000,0.71993
0.7,0.005,0.0,476000,0.7206
0.68,0.015,0.0,477000,0.69755
0.67,0.01,0.0,478000,0.68772
0.7,0.015,0.0,479000,0.71781
0.685,0.01,0.0,480000,0.70234
0.695,0.015,0.0,481000,0.71457
0.71,0.02,0.0,482000,0.72919
0.685,0.005,0.0,483000,0.70501
0.645,0.01,0.0,484000,0.66478
0.66,0.02,0.0,485000,0.67903
0.675,0.015,0.0,486000,0.69354
0.655,0.015,0.0,487000,0.67506
0.67,0.01,0.0,488000,0.68852
0.67,0.015,0.0,489000,0.68855
0.685,0.01,0.0,490000,0.70322
0.685,0.015,0.0,491000,0.70416
0.655,0.01,0.0,492000,0.67352
0.67,0.015,0.0,493000,0.68896
0.68,0.015,0.0,494000,0.69835
0.67,0.01,0.0,495000,0.68762
0.675,0.015,0.0,496000,0.69114
0.705,0.01,0.0,497000,0.72216
0.7,0.015,0.0,498000,0.71895
0.69,0.01,0.0,499000,0.7101
