avg_score,avg_winning,loss_train,avg_diff,step_idx
0.29502,0.269,0.0,0.015,1000
0.2732,0.249,0.0,0.015,2000
0.27958,0.256,0.0,0.027,3000
0.25216,0.23,0.0,0.024,4000
0.25983,0.238,0.0,0.016,5000
0.24348,0.222,0.0,0.02,6000
0.24749,0.226,0.0,0.02,7000
0.25607,0.234,0.0,0.021,8000
0.26967,0.247,0.0,0.017,9000
0.28181,0.257,0.0,0.022,10000
0.27566,0.252,0.0,0.019,11000
0.25929,0.238,0.0,0.021,12000
0.26059,0.24,0.0,0.024,13000
0.27168,0.25,0.0,0.02,14000
0.25585,0.234,0.0,0.02,15000
0.26092,0.238,0.0,0.023,16000
0.26937,0.246,0.0,0.014,17000
0.27286,0.247,0.0,0.021,18000
0.27053,0.246,0.0,0.032,19000
0.27524,0.25,0.0,0.024,20000
0.2576,0.234,0.0,0.017,21000
0.27631,0.251,0.0,0.021,22000
0.26145,0.236,0.0,0.022,23000
0.25312,0.228,0.0,0.024,24000
0.25904,0.234,0.0,0.021,25000
0.26279,0.238,0.0,0.026,26000
0.26193,0.236,0.0,0.019,27000
0.26108,0.234,0.0,0.018,28000
0.2602,0.232,0.0,0.012,29000
0.27095,0.242,0.0,0.02,30000
0.27019,0.241,0.0,0.013,31000
0.28041,0.252,0.0,0.027,32000
0.28099,0.253,0.0,0.025,33000
0.27418,0.247,0.0,0.023,34000
0.30983,0.282,0.0,0.025,35000
0.32397,0.298,0.0,0.022,36000
0.34198,0.316,0.0,0.02,37000
0.33452,0.31,0.0,0.026,38000
0.36073,0.335,0.0,0.021,39000
0.39591,0.371,0.0,0.012,40000
0.38936,0.365,0.0,0.013,41000
0.38573,0.363,0.0,0.016,42000
0.39667,0.374,0.0,0.014,43000
0.38191,0.361,0.0,0.021,44000
0.4083,0.386,0.0,0.016,45000
0.38468,0.363,0.0,0.019,46000
0.40174,0.38,0.0,0.016,47000
0.37975,0.359,0.0,0.025,48000
0.40786,0.386,0.0,0.019,49000
0.41311,0.391,0.0,0.017,50000
0.41067,0.389,0.0,0.021,51000
0.42284,0.401,0.0,0.017,52000
0.4157,0.394,0.0,0.016,53000
0.3944,0.373,0.0,0.021,54000
0.41328,0.392,0.0,0.019,55000
0.41444,0.392,0.0,0.012,56000
0.40349,0.381,0.0,0.018,57000
0.40347,0.381,0.0,0.02,58000
0.40112,0.378,0.0,0.017,59000
0.40214,0.379,0.0,0.022,60000
0.40293,0.381,0.0,0.019,61000
0.40076,0.378,0.0,0.016,62000
0.40358,0.383,0.0,0.01,63000
0.40039,0.38,0.0,0.018,64000
0.40359,0.383,0.0,0.017,65000
0.39374,0.374,0.0,0.02,66000
0.39803,0.379,0.0,0.017,67000
0.39971,0.38,0.0,0.02,68000
0.39991,0.38,0.0,0.019,69000
0.41008,0.391,0.0,0.02,70000
0.40832,0.388,0.0,0.022,71000
0.4007,0.38,0.0,0.02,72000
0.4077,0.386,0.0,0.017,73000
0.40511,0.383,0.0,0.018,74000
0.41227,0.39,0.0,0.018,75000
0.40756,0.385,0.0,0.012,76000
0.39861,0.376,0.0,0.02,77000
0.4092,0.387,0.0,0.012,78000
0.40653,0.384,0.0,0.018,79000
0.41003,0.388,0.0,0.016,80000
0.40124,0.379,0.0,0.019,81000
0.41388,0.392,0.0,0.025,82000
0.37976,0.359,0.0,0.016,83000
0.40501,0.383,0.0,0.021,84000
0.40199,0.38,0.0,0.01,85000
0.41321,0.391,0.0,0.008,86000
0.40155,0.378,0.0,0.015,87000
0.40956,0.387,0.0,0.015,88000
0.41246,0.391,0.0,0.01,89000
0.41342,0.392,0.0,0.016,90000
0.40404,0.382,0.0,0.016,91000
0.40839,0.386,0.0,0.016,92000
0.4247,0.402,0.0,0.016,93000
0.40914,0.389,0.0,0.015,94000
0.41561,0.394,0.0,0.015,95000
0.40546,0.385,0.0,0.016,96000
0.40525,0.384,0.0,0.02,97000
0.40837,0.387,0.0,0.024,98000
0.39903,0.377,0.0,0.017,99000
0.40188,0.379,0.0,0.019,100000
0.41055,0.388,0.0,0.013,101000
0.40831,0.386,0.0,0.014,102000
0.40998,0.388,0.0,0.013,103000
0.39708,0.375,0.0,0.021,104000
0.41142,0.39,0.0,0.016,105000
0.40893,0.387,0.0,0.012,106000
0.40976,0.389,0.0,0.019,107000
0.40393,0.382,0.0,0.024,108000
0.41663,0.394,0.0,0.021,109000
0.42628,0.404,0.0,0.022,110000
0.40945,0.387,0.0,0.015,111000
0.40659,0.384,0.0,0.019,112000
0.42824,0.405,0.0,0.006,113000
0.43166,0.408,0.0,0.017,114000
0.41661,0.395,0.0,0.015,115000
0.40768,0.387,0.0,0.015,116000
0.40289,0.381,0.0,0.021,117000
0.41096,0.388,0.0,0.016,118000
0.42397,0.401,0.0,0.016,119000
0.41211,0.388,0.0,0.017,120000
0.41931,0.396,0.0,0.015,121000
0.41957,0.397,0.0,0.02,122000
0.4181,0.396,0.0,0.011,123000
0.42899,0.406,0.0,0.019,124000
0.4069,0.384,0.0,0.01,125000
0.42595,0.404,0.0,0.017,126000
0.40753,0.387,0.0,0.018,127000
0.42198,0.401,0.0,0.01,128000
0.42449,0.403,0.0,0.014,129000
0.4177,0.395,0.0,0.017,130000
0.41758,0.395,0.0,0.012,131000
0.41471,0.393,0.0,0.01,132000
0.42848,0.406,0.0,0.018,133000
0.40007,0.379,0.0,0.025,134000
0.42488,0.404,0.0,0.015,135000
0.41089,0.39,0.0,0.011,136000
0.411,0.39,0.0,0.022,137000
0.40415,0.383,0.0,0.015,138000
0.4133,0.392,0.0,0.016,139000
0.41189,0.389,0.0,0.017,140000
0.41921,0.397,0.0,0.013,141000
0.41671,0.395,0.0,0.016,142000
0.42307,0.401,0.0,0.016,143000
0.42472,0.402,0.0,0.011,144000
0.41903,0.396,0.0,0.014,145000
0.41046,0.389,0.0,0.013,146000
0.4095,0.387,0.0,0.018,147000
0.41072,0.388,0.0,0.016,148000
0.42121,0.399,0.0,0.019,149000
0.41153,0.389,0.0,0.019,150000
0.39693,0.375,0.0,0.02,151000
0.41374,0.392,0.0,0.016,152000
0.41925,0.397,0.0,0.017,153000
0.40784,0.386,0.0,0.019,154000
0.39314,0.371,0.0,0.017,155000
0.39524,0.373,0.0,0.017,156000
0.39471,0.375,0.0,0.019,157000
0.39565,0.373,0.0,0.011,158000
0.39981,0.378,0.0,0.015,159000
0.40468,0.383,0.0,0.026,160000
0.42047,0.399,0.0,0.016,161000
0.39456,0.373,0.0,0.017,162000
0.40658,0.387,0.0,0.019,163000
0.4043,0.385,0.0,0.016,164000
0.40058,0.38,0.0,0.02,165000
0.39906,0.377,0.0,0.018,166000
0.4025,0.381,0.0,0.02,167000
0.40665,0.386,0.0,0.02,168000
0.40562,0.385,0.0,0.011,169000
0.40105,0.381,0.0,0.015,170000
0.41885,0.398,0.0,0.018,171000
0.40223,0.38,0.0,0.01,172000
0.40401,0.382,0.0,0.018,173000
0.42267,0.399,0.0,0.008,174000
0.40421,0.381,0.0,0.017,175000
0.41036,0.387,0.0,0.015,176000
0.40821,0.384,0.0,0.012,177000
0.42411,0.402,0.0,0.01,178000
0.4201,0.398,0.0,0.009,179000
0.42088,0.4,0.0,0.014,180000
0.40726,0.386,0.0,0.016,181000
0.41544,0.393,0.0,0.019,182000
0.40933,0.389,0.0,0.015,183000
0.4175,0.395,0.0,0.009,184000
0.42276,0.401,0.0,0.016,185000
0.41337,0.391,0.0,0.018,186000
0.42711,0.403,0.0,0.018,187000
0.42379,0.4,0.0,0.017,188000
0.42159,0.399,0.0,0.016,189000
0.41056,0.387,0.0,0.018,190000
0.41883,0.396,0.0,0.017,191000
0.41668,0.394,0.0,0.014,192000
0.41561,0.393,0.0,0.014,193000
0.40054,0.377,0.0,0.018,194000
0.42298,0.399,0.0,0.016,195000
0.42627,0.403,0.0,0.02,196000
0.40644,0.383,0.0,0.017,197000
0.3981,0.374,0.0,0.016,198000
0.42634,0.401,0.0,0.016,199000
0.40932,0.385,0.0,0.021,200000
0.39825,0.375,0.0,0.019,201000
0.41198,0.39,0.0,0.02,202000
0.41634,0.394,0.0,0.017,203000
0.41156,0.387,0.0,0.017,204000
0.40999,0.387,0.0,0.019,205000
0.42336,0.402,0.0,0.021,206000
0.40967,0.387,0.0,0.015,207000
0.41087,0.388,0.0,0.018,208000
0.40567,0.382,0.0,0.019,209000
0.40627,0.381,0.0,0.013,210000
0.418,0.394,0.0,0.016,211000
0.40809,0.384,0.0,0.025,212000
0.39692,0.373,0.0,0.021,213000
0.41594,0.391,0.0,0.018,214000
0.41948,0.397,0.0,0.018,215000
0.40973,0.387,0.0,0.016,216000
0.42022,0.397,0.0,0.012,217000
0.40531,0.382,0.0,0.013,218000
0.39483,0.372,0.0,0.019,219000
0.39816,0.377,0.0,0.014,220000
0.42018,0.398,0.0,0.012,221000
0.40735,0.386,0.0,0.011,222000
0.41138,0.388,0.0,0.017,223000
0.4132,0.389,0.0,0.017,224000
0.41114,0.386,0.0,0.007,225000
0.42232,0.398,0.0,0.01,226000
0.42218,0.397,0.0,0.024,227000
0.43015,0.404,0.0,0.011,228000
0.41008,0.387,0.0,0.012,229000
0.42081,0.397,0.0,0.014,230000
0.4262,0.402,0.0,0.012,231000
0.43069,0.405,0.0,0.019,232000
0.45077,0.425,0.0,0.015,233000
0.42576,0.402,0.0,0.016,234000
0.42833,0.406,0.0,0.023,235000
0.43668,0.414,0.0,0.01,236000
0.45804,0.433,0.0,0.016,237000
0.45362,0.43,0.0,0.02,238000
0.46284,0.438,0.0,0.017,239000
0.46869,0.443,0.0,0.009,240000
0.4665,0.442,0.0,0.011,241000
0.44737,0.423,0.0,0.016,242000
0.45637,0.432,0.0,0.019,243000
0.48816,0.464,0.0,0.014,244000
0.48107,0.456,0.0,0.015,245000
0.48578,0.462,0.0,0.014,246000
0.46865,0.444,0.0,0.014,247000
0.47468,0.45,0.0,0.019,248000
0.47481,0.45,0.0,0.017,249000
0.46102,0.438,0.0,0.014,250000
0.46344,0.441,0.0,0.017,251000
0.47662,0.453,0.0,0.009,252000
0.48604,0.463,0.0,0.012,253000
0.48596,0.463,0.0,0.013,254000
0.4821,0.457,0.0,0.016,255000
0.48493,0.462,0.0,0.015,256000
0.4657,0.444,0.0,0.019,257000
0.4875,0.464,0.0,0.024,258000
0.48885,0.466,0.0,0.014,259000
0.48854,0.466,0.0,0.013,260000
0.51471,0.493,0.0,0.014,261000
0.49829,0.477,0.0,0.019,262000
0.47907,0.457,0.0,0.017,263000
0.49312,0.47,0.0,0.016,264000
0.48523,0.463,0.0,0.012,265000
0.50651,0.484,0.0,0.015,266000
0.50339,0.479,0.0,0.017,267000
0.48548,0.462,0.0,0.016,268000
0.51278,0.486,0.0,0.018,269000
0.49945,0.473,0.0,0.015,270000
0.49209,0.466,0.0,0.02,271000
0.4985,0.474,0.0,0.019,272000
0.49043,0.466,0.0,0.018,273000
0.49616,0.472,0.0,0.015,274000
0.50689,0.483,0.0,0.02,275000
0.49597,0.472,0.0,0.021,276000
0.48429,0.461,0.0,0.016,277000
0.49072,0.467,0.0,0.018,278000
0.50172,0.478,0.0,0.021,279000
0.49216,0.468,0.0,0.025,280000
0.49612,0.472,0.0,0.021,281000
0.49014,0.466,0.0,0.018,282000
0.4923,0.469,0.0,0.017,283000
0.49348,0.469,0.0,0.019,284000
0.50225,0.477,0.0,0.018,285000
0.49573,0.47,0.0,0.024,286000
0.48673,0.462,0.0,0.022,287000
0.5061,0.482,0.0,0.023,288000
0.516,0.491,0.0,0.021,289000
0.51201,0.488,0.0,0.017,290000
0.50589,0.483,0.0,0.02,291000
0.49679,0.474,0.0,0.016,292000
0.51177,0.486,0.0,0.021,293000
0.5051,0.48,0.0,0.015,294000
0.49706,0.472,0.0,0.018,295000
0.49773,0.47,0.0,0.015,296000
0.52381,0.496,0.0,0.015,297000
0.50893,0.482,0.0,0.016,298000
0.50624,0.481,0.0,0.018,299000
0.50605,0.48,0.0,0.02,300000
0.48182,0.457,0.0,0.018,301000
0.50342,0.479,0.0,0.017,302000
0.50969,0.487,0.0,0.022,303000
0.51221,0.49,0.0,0.019,304000
0.5167,0.492,0.0,0.021,305000
0.50727,0.484,0.0,0.015,306000
0.50566,0.479,0.0,0.014,307000
0.50915,0.484,0.0,0.017,308000
0.49658,0.473,0.0,0.014,309000
0.51957,0.495,0.0,0.021,310000
0.50278,0.479,0.0,0.02,311000
0.49671,0.473,0.0,0.012,312000
0.51172,0.487,0.0,0.018,313000
0.49986,0.475,0.0,0.017,314000
0.51874,0.494,0.0,0.014,315000
0.51169,0.486,0.0,0.016,316000
0.49294,0.468,0.0,0.009,317000
0.50098,0.476,0.0,0.014,318000
0.50323,0.477,0.0,0.016,319000
0.50648,0.481,0.0,0.013,320000
0.50043,0.475,0.0,0.012,321000
0.49958,0.473,0.0,0.014,322000
0.51982,0.493,0.0,0.011,323000
0.50521,0.477,0.0,0.018,324000
