loss_train,avg_diff,avg_score,step_idx,avg_winning
0.0,0.022,0.2849,1000,0.257
0.0,0.013,0.31931,2000,0.291
0.0,0.014,0.34531,3000,0.316
0.0,0.029,0.39332,4000,0.364
0.0,0.019,0.38942,5000,0.359
0.0,0.019,0.37735,6000,0.345
0.0,0.012,0.39852,7000,0.365
0.0,0.021,0.41277,8000,0.38
0.0,0.021,0.40952,9000,0.376
0.0,0.015,0.38153,10000,0.346
0.0,0.018,0.4161,11000,0.38
0.0,0.005,0.43248,12000,0.395
0.0,0.016,0.43154,13000,0.395
0.0,0.026,0.4423,14000,0.406
0.0,0.013,0.44525,15000,0.407
0.0,0.013,0.44702,16000,0.409
0.0,0.021,0.46646,17000,0.43
0.0,0.009,0.45601,18000,0.419
0.0,0.019,0.47275,19000,0.435
0.0,0.01,0.44906,20000,0.411
0.0,0.02,0.47877,21000,0.439
0.0,0.013,0.46896,22000,0.43
0.0,0.013,0.47128,23000,0.432
0.0,0.018,0.4735,24000,0.435
0.0,0.022,0.44324,25000,0.405
0.0,0.013,0.44527,26000,0.407
0.0,0.018,0.47518,27000,0.438
0.0,0.012,0.45772,28000,0.42
0.0,0.013,0.47384,29000,0.433
0.0,0.012,0.47717,30000,0.437
0.0,0.011,0.45774,31000,0.419
0.0,0.004,0.47665,32000,0.436
0.0,0.005,0.49324,33000,0.452
0.0,0.02,0.47453,34000,0.437
0.0,0.015,0.48383,35000,0.445
0.0,0.008,0.45626,36000,0.417
0.0,0.015,0.47192,37000,0.431
0.0,0.014,0.47584,38000,0.435
0.0,0.018,0.46418,39000,0.426
0.0,0.015,0.49012,40000,0.451
0.0,0.013,0.49992,41000,0.461
0.0,0.022,0.47761,42000,0.436
0.0,0.01,0.49851,43000,0.458
0.0,0.01,0.48308,44000,0.444
0.0,0.007,0.48121,45000,0.441
0.0,0.005,0.50213,46000,0.462
0.0,0.017,0.46634,47000,0.427
0.0,0.02,0.47436,48000,0.434
0.0,0.015,0.48797,49000,0.447
0.0,0.002,0.48308,50000,0.442
0.0,0.019,0.48108,51000,0.44
0.0,0.012,0.49774,52000,0.459
0.0,0.009,0.526,53000,0.484
0.0,0.011,0.50844,54000,0.468
0.0,0.017,0.4837,55000,0.442
0.0,0.011,0.4802,56000,0.438
0.0,0.019,0.51708,57000,0.474
0.0,0.017,0.52184,58000,0.48
0.0,0.009,0.5083,59000,0.465
0.0,0.016,0.50463,60000,0.463
0.0,0.01,0.50513,61000,0.461
0.0,0.013,0.49043,62000,0.446
0.0,0.016,0.51864,63000,0.474
0.0,0.008,0.50439,64000,0.459
0.0,0.009,0.48681,65000,0.443
0.0,0.009,0.50419,66000,0.461
0.0,0.008,0.48929,67000,0.446
0.0,0.013,0.4904,68000,0.447
0.0,0.01,0.50374,69000,0.46
0.0,0.012,0.51298,70000,0.47
0.0,0.015,0.51401,71000,0.472
0.0,0.02,0.49599,72000,0.452
0.0,0.008,0.51564,73000,0.472
0.0,0.016,0.50583,74000,0.461
0.0,0.018,0.52108,75000,0.476
0.0,0.006,0.51253,76000,0.469
0.0,0.007,0.49429,77000,0.45
0.0,0.013,0.52621,78000,0.482
0.0,0.022,0.50094,79000,0.46
0.0,0.01,0.5156,80000,0.472
0.0,0.015,0.49968,81000,0.457
0.0,0.013,0.54481,82000,0.501
0.0,0.007,0.50044,83000,0.456
0.0,0.008,0.5101,84000,0.466
0.0,0.017,0.50177,85000,0.457
0.0,0.006,0.51868,86000,0.474
0.0,0.019,0.49737,87000,0.452
0.0,0.01,0.5053,88000,0.461
0.0,0.012,0.51155,89000,0.467
0.0,0.011,0.49572,90000,0.452
0.0,0.021,0.50304,91000,0.458
0.0,0.014,0.51603,92000,0.473
0.0,0.012,0.51614,93000,0.471
0.0,0.015,0.50858,94000,0.464
0.0,0.008,0.54681,95000,0.499
0.0,0.015,0.52133,96000,0.474
0.0,0.016,0.51371,97000,0.466
0.0,0.016,0.50457,98000,0.458
0.0,0.009,0.51521,99000,0.471
0.0,0.017,0.51957,100000,0.476
0.0,0.019,0.50667,101000,0.461
0.0,0.017,0.51386,102000,0.469
0.0,0.009,0.48778,103000,0.443
0.0,0.014,0.51815,104000,0.474
0.0,0.017,0.50719,105000,0.463
0.0,0.015,0.50348,106000,0.46
0.0,0.019,0.51326,107000,0.471
0.0,0.01,0.51317,108000,0.469
0.0,0.012,0.5032,109000,0.459
0.0,0.01,0.50014,110000,0.455
0.0,0.015,0.50911,111000,0.463
0.0,0.007,0.52117,112000,0.476
0.0,0.021,0.49434,113000,0.45
0.0,0.001,0.52339,114000,0.476
0.0,0.012,0.52585,115000,0.478
0.0,0.013,0.53803,116000,0.49
0.0,0.012,0.50558,117000,0.459
0.0,0.013,0.51517,118000,0.469
0.0,0.016,0.52731,119000,0.481
0.0,0.01,0.51117,120000,0.466
0.0,0.011,0.52783,121000,0.481
0.0,0.019,0.50371,122000,0.456
0.0,0.014,0.50631,123000,0.459
0.0,0.005,0.51071,124000,0.466
0.0,0.013,0.51927,125000,0.475
0.0,0.006,0.50313,126000,0.459
0.0,0.011,0.50624,127000,0.461
0.0,0.015,0.51265,128000,0.467
0.0,0.012,0.50963,129000,0.463
0.0,0.013,0.5097,130000,0.462
0.0,0.012,0.51058,131000,0.464
0.0,0.011,0.51229,132000,0.467
0.0,0.017,0.51546,133000,0.47
0.0,0.015,0.50451,134000,0.457
0.0,0.014,0.51157,135000,0.463
0.0,0.019,0.4932,136000,0.445
0.0,0.022,0.52629,137000,0.477
0.0,0.015,0.49358,138000,0.446
0.0,0.016,0.53206,139000,0.483
0.0,0.018,0.49824,140000,0.45
0.0,0.015,0.49523,141000,0.448
0.0,0.016,0.51702,142000,0.472
0.0,0.013,0.50766,143000,0.461
0.0,0.015,0.51161,144000,0.465
0.0,0.015,0.51978,145000,0.473
0.0,0.022,0.51577,146000,0.468
0.0,0.014,0.50659,147000,0.458
0.0,0.017,0.50586,148000,0.457
0.0,0.012,0.51681,149000,0.468
0.0,0.01,0.51084,150000,0.462
0.0,0.017,0.49925,151000,0.451
0.0,0.016,0.52459,152000,0.476
0.0,0.008,0.52039,153000,0.473
0.0,0.011,0.50622,154000,0.459
0.0,0.012,0.49773,155000,0.451
0.0,0.009,0.5162,156000,0.469
0.0,0.019,0.49361,157000,0.445
0.0,0.021,0.52692,158000,0.479
0.0,0.019,0.50844,159000,0.46
0.0,0.022,0.51299,160000,0.464
0.0,0.015,0.53416,161000,0.487
0.0,0.013,0.54375,162000,0.497
0.0,0.019,0.50587,163000,0.46
0.0,0.016,0.5134,164000,0.468
0.0,0.015,0.51157,165000,0.468
0.0,0.014,0.51456,166000,0.472
0.0,0.019,0.51478,167000,0.468
0.0,0.012,0.51365,168000,0.465
0.0,0.016,0.51596,169000,0.467
0.0,0.012,0.53496,170000,0.486
0.0,0.01,0.51362,171000,0.465
0.0,0.015,0.50493,172000,0.458
0.0,0.009,0.51863,173000,0.472
0.0,0.011,0.51445,174000,0.469
0.0,0.009,0.52108,175000,0.475
0.0,0.01,0.49464,176000,0.45
0.0,0.011,0.51341,177000,0.469
0.0,0.016,0.51353,178000,0.467
0.0,0.007,0.50889,179000,0.462
0.0,0.01,0.51997,180000,0.474
0.0,0.013,0.51169,181000,0.467
0.0,0.016,0.50974,182000,0.467
0.0,0.02,0.51408,183000,0.468
0.0,0.018,0.47186,184000,0.428
0.0,0.017,0.50738,185000,0.465
0.0,0.019,0.49352,186000,0.45
0.0,0.013,0.51408,187000,0.467
0.0,0.01,0.491,188000,0.446
0.0,0.012,0.51373,189000,0.47
0.0,0.016,0.51332,190000,0.47
0.0,0.012,0.50708,191000,0.463
0.0,0.014,0.51367,192000,0.466
0.0,0.013,0.51709,193000,0.469
0.0,0.022,0.50101,194000,0.454
0.0,0.028,0.50066,195000,0.453
0.0,0.015,0.50673,196000,0.46
0.0,0.018,0.49036,197000,0.445
0.0,0.02,0.52251,198000,0.475
0.0,0.007,0.51073,199000,0.464
0.0,0.011,0.50347,200000,0.456
0.0,0.018,0.53226,201000,0.483
0.0,0.014,0.49479,202000,0.446
0.0,0.022,0.51441,203000,0.466
0.0,0.011,0.50552,204000,0.458
0.0,0.016,0.50008,205000,0.452
0.0,0.017,0.49668,206000,0.451
0.0,0.015,0.50783,207000,0.464
0.0,0.015,0.50744,208000,0.462
0.0,0.018,0.50546,209000,0.457
0.0,0.012,0.50523,210000,0.458
0.0,0.021,0.5198,211000,0.471
0.0,0.014,0.50233,212000,0.455
0.0,0.013,0.5271,213000,0.479
0.0,0.016,0.50032,214000,0.451
0.0,0.019,0.50477,215000,0.455
0.0,0.017,0.51984,216000,0.47
0.0,0.016,0.51001,217000,0.463
0.0,0.014,0.52674,218000,0.478
0.0,0.013,0.51665,219000,0.467
0.0,0.008,0.50647,220000,0.457
0.0,0.008,0.53062,221000,0.48
0.0,0.006,0.51287,222000,0.463
0.0,0.01,0.51902,223000,0.469
0.0,0.014,0.49414,224000,0.445
0.0,0.015,0.51197,225000,0.463
0.0,0.017,0.51927,226000,0.471
0.0,0.014,0.51481,227000,0.469
0.0,0.016,0.50776,228000,0.46
0.0,0.015,0.51695,229000,0.468
0.0,0.014,0.5178,230000,0.469
0.0,0.013,0.5111,231000,0.462
0.0,0.017,0.51015,232000,0.46
0.0,0.014,0.52629,233000,0.477
0.0,0.014,0.52085,234000,0.47
0.0,0.007,0.52984,235000,0.479
0.0,0.018,0.53733,236000,0.486
0.0,0.017,0.50776,237000,0.456
0.0,0.014,0.52448,238000,0.473
0.0,0.015,0.51904,239000,0.468
0.0,0.019,0.52107,240000,0.472
0.0,0.017,0.52748,241000,0.478
0.0,0.021,0.52777,242000,0.478
0.0,0.018,0.52229,243000,0.473
0.0,0.013,0.51662,244000,0.469
0.0,0.019,0.53128,245000,0.482
0.0,0.011,0.52161,246000,0.472
0.0,0.017,0.53515,247000,0.485
0.0,0.016,0.53541,248000,0.485
0.0,0.014,0.52031,249000,0.469
0.0,0.014,0.53828,250000,0.487
0.0,0.013,0.52998,251000,0.479
0.0,0.009,0.5277,252000,0.475
0.0,0.01,0.53394,253000,0.483
0.0,0.015,0.53044,254000,0.481
0.0,0.017,0.52622,255000,0.475
0.0,0.008,0.54357,256000,0.492
0.0,0.013,0.52088,257000,0.469
0.0,0.012,0.5271,258000,0.475
0.0,0.016,0.53368,259000,0.482
0.0,0.017,0.53555,260000,0.485
0.0,0.013,0.51753,261000,0.468
0.0,0.015,0.52211,262000,0.471
0.0,0.014,0.51844,263000,0.467
0.0,0.016,0.52539,264000,0.474
0.0,0.015,0.52419,265000,0.473
0.0,0.013,0.53728,266000,0.487
0.0,0.018,0.5289,267000,0.478
0.0,0.008,0.52651,268000,0.476
0.0,0.019,0.53285,269000,0.481
0.0,0.011,0.54156,270000,0.489
0.0,0.009,0.54037,271000,0.489
0.0,0.014,0.52705,272000,0.476
0.0,0.016,0.5284,273000,0.477
0.0,0.01,0.53066,274000,0.478
0.0,0.016,0.53489,275000,0.483
0.0,0.019,0.52649,276000,0.475
0.0,0.007,0.53954,277000,0.488
0.0,0.012,0.53067,278000,0.48
0.0,0.008,0.532,279000,0.48
0.0,0.015,0.53947,280000,0.488
0.0,0.015,0.53162,281000,0.481
0.0,0.011,0.52592,282000,0.477
0.0,0.017,0.52861,283000,0.481
0.0,0.016,0.53011,284000,0.482
0.0,0.011,0.54121,285000,0.491
0.0,0.009,0.54484,286000,0.495
0.0,0.012,0.52723,287000,0.478
0.0,0.008,0.52335,288000,0.474
0.0,0.014,0.53084,289000,0.48
0.0,0.012,0.53166,290000,0.481
0.0,0.016,0.52226,291000,0.472
0.0,0.013,0.51659,292000,0.466
0.0,0.018,0.5322,293000,0.481
0.0,0.008,0.5324,294000,0.481
0.0,0.013,0.52698,295000,0.475
0.0,0.014,0.51703,296000,0.466
0.0,0.014,0.52483,297000,0.474
0.0,0.012,0.53405,298000,0.483
0.0,0.019,0.52666,299000,0.475
0.0,0.017,0.53802,300000,0.487
0.0,0.013,0.52544,301000,0.474
0.0,0.019,0.53087,302000,0.479
0.0,0.015,0.543,303000,0.491
0.0,0.012,0.53714,304000,0.485
0.0,0.016,0.53941,305000,0.487
0.0,0.007,0.55731,306000,0.505
0.0,0.016,0.5371,307000,0.485
0.0,0.012,0.52506,308000,0.473
0.0,0.005,0.53639,309000,0.485
0.0,0.011,0.53987,310000,0.488
0.0,0.015,0.53473,311000,0.483
0.0,0.011,0.52751,312000,0.476
0.0,0.016,0.53591,313000,0.484
0.0,0.012,0.546,314000,0.495
0.0,0.016,0.54722,315000,0.496
0.0,0.014,0.53533,316000,0.483
0.0,0.008,0.54078,317000,0.488
0.0,0.013,0.53597,318000,0.484
0.0,0.015,0.52893,319000,0.477
0.0,0.021,0.52772,320000,0.476
0.0,0.012,0.5292,321000,0.477
0.0,0.013,0.54629,322000,0.494
0.0,0.018,0.52219,323000,0.471
0.0,0.012,0.52601,324000,0.474
0.0,0.006,0.53034,325000,0.479
0.0,0.01,0.54521,326000,0.494
0.0,0.015,0.54643,327000,0.495
0.0,0.01,0.54942,328000,0.499
0.0,0.01,0.53564,329000,0.484
0.0,0.008,0.54221,330000,0.491
0.0,0.012,0.53537,331000,0.484
0.0,0.006,0.5369,332000,0.487
0.0,0.024,0.53066,333000,0.482
0.0,0.011,0.53133,334000,0.481
0.0,0.021,0.53674,335000,0.487
0.0,0.012,0.55144,336000,0.501
0.0,0.019,0.55493,337000,0.505
0.0,0.011,0.51814,338000,0.469
0.0,0.011,0.54103,339000,0.491
0.0,0.009,0.53085,340000,0.48
0.0,0.013,0.52761,341000,0.477
0.0,0.007,0.51859,342000,0.469
0.0,0.014,0.54285,343000,0.492
0.0,0.012,0.53815,344000,0.487
0.0,0.01,0.52016,345000,0.47
0.0,0.012,0.54278,346000,0.492
0.0,0.009,0.54378,347000,0.492
0.0,0.006,0.5465,348000,0.495
0.0,0.015,0.52104,349000,0.469
0.0,0.004,0.53532,350000,0.484
0.0,0.017,0.53183,351000,0.48
0.0,0.019,0.53742,352000,0.486
0.0,0.012,0.54032,353000,0.489
0.0,0.012,0.53281,354000,0.482
0.0,0.015,0.53984,355000,0.489
0.0,0.022,0.53466,356000,0.484
0.0,0.012,0.52969,357000,0.478
0.0,0.013,0.52823,358000,0.477
0.0,0.012,0.52952,359000,0.478
0.0,0.015,0.53454,360000,0.482
0.0,0.012,0.52619,361000,0.474
0.0,0.007,0.54341,362000,0.491
0.0,0.004,0.53118,363000,0.479
0.0,0.012,0.5463,364000,0.494
0.0,0.013,0.53329,365000,0.483
0.0,0.014,0.53961,366000,0.488
0.0,0.015,0.52515,367000,0.474
0.0,0.01,0.52769,368000,0.476
0.0,0.009,0.54627,369000,0.494
0.0,0.014,0.54393,370000,0.492
0.0,0.014,0.53207,371000,0.48
0.0,0.009,0.52292,372000,0.472
0.0,0.008,0.52398,373000,0.473
0.0,0.012,0.5267,374000,0.476
0.0,0.009,0.54384,375000,0.492
0.0,0.01,0.54167,376000,0.491
0.0,0.013,0.53545,377000,0.485
0.0,0.014,0.53129,378000,0.48
0.0,0.016,0.53819,379000,0.487
0.0,0.01,0.52894,380000,0.477
0.0,0.011,0.54129,381000,0.489
0.0,0.014,0.53936,382000,0.487
0.0,0.01,0.53394,383000,0.482
0.0,0.003,0.5453,384000,0.493
0.0,0.013,0.54174,385000,0.489
0.0,0.015,0.52986,386000,0.478
0.0,0.009,0.54725,387000,0.495
0.0,0.015,0.53256,388000,0.48
0.0,0.014,0.545,389000,0.492
0.0,0.013,0.53973,390000,0.487
0.0,0.014,0.55078,391000,0.498
0.0,0.012,0.54679,392000,0.494
0.0,0.013,0.55576,393000,0.503
0.0,0.013,0.53825,394000,0.485
0.0,0.019,0.54927,395000,0.496
0.0,0.007,0.55128,396000,0.498
0.0,0.017,0.53365,397000,0.481
0.0,0.015,0.53077,398000,0.478
0.0,0.025,0.54291,399000,0.49
0.0,0.014,0.53208,400000,0.479
0.0,0.012,0.53085,401000,0.478
0.0,0.021,0.53674,402000,0.484
0.0,0.012,0.5362,403000,0.484
0.0,0.011,0.52847,404000,0.476
0.0,0.019,0.543,405000,0.491
0.0,0.014,0.54833,406000,0.496
0.0,0.02,0.52334,407000,0.472
0.0,0.015,0.55204,408000,0.5
0.0,0.009,0.52857,409000,0.477
0.0,0.016,0.53933,410000,0.487
0.0,0.01,0.54122,411000,0.489
0.0,0.013,0.53285,412000,0.481
0.0,0.009,0.52146,413000,0.47
0.0,0.011,0.54102,414000,0.49
0.0,0.006,0.51875,415000,0.468
0.0,0.01,0.53465,416000,0.484
0.0,0.016,0.52477,417000,0.473
0.0,0.014,0.53945,418000,0.487
0.0,0.022,0.5148,419000,0.463
0.0,0.009,0.53892,420000,0.486
0.0,0.016,0.53266,421000,0.48
0.0,0.009,0.53635,422000,0.483
0.0,0.016,0.54947,423000,0.496
0.0,0.008,0.53678,424000,0.484
0.0,0.005,0.52991,425000,0.477
0.0,0.008,0.52412,426000,0.473
0.0,0.012,0.52534,427000,0.473
0.0,0.012,0.52151,428000,0.469
0.0,0.005,0.54767,429000,0.495
0.0,0.005,0.52729,430000,0.475
0.0,0.005,0.5302,431000,0.477
0.0,0.01,0.52606,432000,0.474
0.0,0.009,0.52603,433000,0.474
0.0,0.009,0.55348,434000,0.5
0.0,0.008,0.51839,435000,0.466
0.0,0.005,0.52821,436000,0.476
0.0,0.005,0.53631,437000,0.484
0.0,0.009,0.52338,438000,0.47
0.0,0.013,0.5292,439000,0.476
0.0,0.007,0.54494,440000,0.491
0.0,0.017,0.53663,441000,0.484
0.0,0.019,0.54129,442000,0.488
0.0,0.012,0.53269,443000,0.48
0.0,0.007,0.53143,444000,0.479
0.0,0.01,0.5301,445000,0.477
0.0,0.014,0.51929,446000,0.467
0.0,0.007,0.50871,447000,0.458
0.0,0.005,0.52383,448000,0.472
0.0,0.011,0.53224,449000,0.48
0.0,0.01,0.54462,450000,0.492
0.0,0.007,0.53652,451000,0.485
0.0,0.011,0.54666,452000,0.496
0.0,0.008,0.52961,453000,0.479
0.0,0.01,0.51956,454000,0.469
0.0,0.01,0.52461,455000,0.473
0.0,0.015,0.51087,456000,0.459
0.0,0.014,0.526,457000,0.474
0.0,0.011,0.54322,458000,0.491
0.0,0.009,0.54178,459000,0.488
0.0,0.011,0.53801,460000,0.485
0.0,0.007,0.53126,461000,0.478
0.0,0.016,0.53136,462000,0.478
0.0,0.009,0.53472,463000,0.482
0.0,0.013,0.54873,464000,0.495
0.0,0.006,0.52766,465000,0.474
0.0,0.011,0.54009,466000,0.487
0.0,0.013,0.53094,467000,0.478
0.0,0.015,0.53631,468000,0.483
0.0,0.007,0.51637,469000,0.463
0.0,0.017,0.53924,470000,0.486
0.0,0.016,0.5375,471000,0.484
0.0,0.013,0.53623,472000,0.484
0.0,0.014,0.54109,473000,0.488
0.0,0.015,0.5323,474000,0.479
0.0,0.013,0.5449,475000,0.492
0.0,0.016,0.53318,476000,0.481
0.0,0.01,0.53735,477000,0.484
0.0,0.019,0.53349,478000,0.481
0.0,0.011,0.54142,479000,0.489
0.0,0.013,0.52633,480000,0.474
0.0,0.013,0.53564,481000,0.484
0.0,0.016,0.53657,482000,0.484
0.0,0.009,0.53326,483000,0.48
0.0,0.01,0.53782,484000,0.485
0.0,0.012,0.53813,485000,0.485
0.0,0.014,0.53616,486000,0.483
0.0,0.013,0.53475,487000,0.482
0.0,0.017,0.52483,488000,0.472
0.0,0.015,0.53349,489000,0.481
0.0,0.006,0.52101,490000,0.469
0.0,0.01,0.54013,491000,0.487
0.0,0.022,0.52759,492000,0.476
0.0,0.016,0.52775,493000,0.476
0.0,0.018,0.52974,494000,0.477
0.0,0.019,0.54648,495000,0.493
0.0,0.019,0.52812,496000,0.475
0.0,0.018,0.51288,497000,0.461
0.0,0.016,0.5437,498000,0.491
0.0,0.013,0.53485,499000,0.482
