loss_train,avg_winning,step_idx,avg_score,avg_diff
0.0,0.228,1000,0.25273,0.015
0.0,0.253,2000,0.28036,0.018
0.0,0.278,3000,0.3092,0.021
0.0,0.296,4000,0.32849,0.022
0.0,0.32,5000,0.35488,0.019
0.0,0.297,6000,0.33203,0.018
0.0,0.315,7000,0.35066,0.021
0.0,0.328,8000,0.36351,0.021
0.0,0.336,9000,0.37106,0.023
0.0,0.315,10000,0.3509,0.017
0.0,0.313,11000,0.34767,0.025
0.0,0.319,12000,0.35521,0.022
0.0,0.319,13000,0.3547,0.021
0.0,0.319,14000,0.35505,0.025
0.0,0.327,15000,0.36321,0.024
0.0,0.318,16000,0.35491,0.03
0.0,0.331,17000,0.36812,0.026
0.0,0.316,18000,0.35359,0.022
0.0,0.354,19000,0.39238,0.023
0.0,0.365,20000,0.40359,0.016
0.0,0.341,21000,0.37861,0.033
0.0,0.35,22000,0.3875,0.021
0.0,0.371,23000,0.40956,0.025
0.0,0.335,24000,0.37299,0.024
0.0,0.369,25000,0.40723,0.021
0.0,0.373,26000,0.41144,0.032
0.0,0.359,27000,0.39729,0.028
0.0,0.355,28000,0.39362,0.02
0.0,0.355,29000,0.39379,0.023
0.0,0.368,30000,0.40734,0.031
0.0,0.375,31000,0.41409,0.028
0.0,0.367,32000,0.40598,0.026
0.0,0.355,33000,0.39387,0.026
0.0,0.377,34000,0.41644,0.019
0.0,0.358,35000,0.3969,0.025
0.0,0.373,36000,0.41334,0.025
0.0,0.377,37000,0.41739,0.032
0.0,0.37,38000,0.41085,0.02
0.0,0.385,39000,0.42525,0.031
0.0,0.383,40000,0.42299,0.025
0.0,0.388,41000,0.42915,0.029
0.0,0.387,42000,0.42751,0.013
0.0,0.384,43000,0.4246,0.016
0.0,0.392,44000,0.43248,0.036
0.0,0.383,45000,0.42258,0.023
0.0,0.398,46000,0.43896,0.035
0.0,0.401,47000,0.44101,0.024
0.0,0.395,48000,0.43476,0.026
0.0,0.397,49000,0.43732,0.024
0.0,0.404,50000,0.44447,0.03
0.0,0.422,51000,0.46328,0.029
0.0,0.407,52000,0.44859,0.029
0.0,0.41,53000,0.4521,0.02
0.0,0.43,54000,0.47205,0.024
0.0,0.418,55000,0.46093,0.017
0.0,0.432,56000,0.47515,0.026
0.0,0.426,57000,0.47017,0.023
0.0,0.43,58000,0.47379,0.015
0.0,0.451,59000,0.49381,0.016
0.0,0.433,60000,0.47568,0.025
0.0,0.427,61000,0.46976,0.022
0.0,0.405,62000,0.44722,0.018
0.0,0.432,63000,0.47517,0.017
0.0,0.433,64000,0.47584,0.015
0.0,0.446,65000,0.48999,0.018
0.0,0.446,66000,nan,0.027
0.0,0.435,67000,0.47821,0.016
0.0,0.428,68000,0.47077,0.018
0.0,0.441,69000,0.48408,0.024
0.0,0.461,70000,0.50484,0.018
0.0,0.448,71000,0.49176,0.019
0.0,0.444,72000,0.48779,0.019
0.0,0.431,73000,0.47328,0.02
0.0,0.441,74000,0.48421,0.018
0.0,0.439,75000,0.48222,0.017
0.0,0.441,76000,0.48405,0.02
0.0,0.437,77000,0.48064,0.014
0.0,0.444,78000,0.4863,0.02
0.0,0.423,79000,0.46534,0.014
0.0,0.42,80000,0.46228,0.017
0.0,0.42,81000,0.46322,0.021
0.0,0.426,82000,0.46926,0.018
0.0,0.432,83000,0.47585,0.021
0.0,0.431,84000,0.47409,0.019
0.0,0.445,85000,0.48932,0.023
0.0,0.425,86000,0.4682,0.02
0.0,0.439,87000,0.48236,0.031
0.0,0.44,88000,0.48373,0.029
0.0,0.433,89000,0.47666,0.016
0.0,0.44,90000,0.48346,0.015
0.0,0.429,91000,0.47255,0.02
0.0,0.429,92000,0.47293,0.021
0.0,0.428,93000,0.47198,0.023
0.0,0.436,94000,0.48015,0.037
0.0,0.441,95000,0.48495,0.027
0.0,0.431,96000,0.47456,0.022
0.0,0.433,97000,0.47671,0.023
0.0,0.428,98000,nan,0.027
0.0,0.438,99000,0.48194,0.018
0.0,0.448,100000,0.49115,0.014
0.0,0.441,101000,0.48295,0.019
0.0,0.44,102000,0.48365,0.016
0.0,0.432,103000,0.47586,0.021
0.0,0.433,104000,0.47675,0.023
0.0,0.437,105000,0.48107,0.023
0.0,0.431,106000,nan,0.02
0.0,0.439,107000,0.48286,0.018
0.0,0.466,108000,0.51112,0.024
0.0,0.452,109000,0.49683,0.023
0.0,0.442,110000,0.48677,0.015
0.0,0.447,111000,0.49285,0.024
0.0,0.434,112000,0.47938,0.022
0.0,0.445,113000,0.48961,0.021
0.0,0.447,114000,0.49212,0.023
0.0,0.443,115000,nan,0.022
0.0,0.441,116000,0.48568,0.024
0.0,0.469,117000,0.51419,0.017
0.0,0.45,118000,0.49469,0.021
0.0,0.46,119000,0.50415,0.014
0.0,0.454,120000,0.49943,0.02
0.0,0.463,121000,0.50869,0.018
0.0,0.454,122000,0.49867,0.011
0.0,0.467,123000,0.51184,0.013
0.0,0.457,124000,0.50216,0.02
0.0,0.468,125000,nan,0.026
0.0,0.46,126000,0.50486,0.021
0.0,0.46,127000,0.50568,0.018
0.0,0.458,128000,0.50344,0.019
0.0,0.463,129000,0.50872,0.024
0.0,0.456,130000,0.50161,0.02
0.0,0.476,131000,0.52122,0.03
0.0,0.461,132000,0.50614,0.017
0.0,0.464,133000,0.50897,0.024
0.0,0.472,134000,0.51713,0.021
0.0,0.466,135000,0.51112,0.016
0.0,0.474,136000,0.51832,0.015
0.0,0.466,137000,0.51038,0.02
0.0,0.475,138000,0.52014,0.021
0.0,0.469,139000,0.51303,0.021
0.0,0.465,140000,0.51026,0.021
0.0,0.475,141000,0.52034,0.025
0.0,0.479,142000,nan,0.022
0.0,0.48,143000,0.52619,0.017
0.0,0.464,144000,0.50988,0.01
0.0,0.475,145000,0.52075,0.03
0.0,0.473,146000,0.51975,0.018
0.0,0.457,147000,0.50261,0.019
0.0,0.465,148000,0.51053,0.032
0.0,0.464,149000,0.51096,0.025
0.0,0.456,150000,0.5022,0.013
0.0,0.468,151000,0.5143,0.017
0.0,0.474,152000,0.52008,0.028
0.0,0.453,153000,0.49943,0.026
0.0,0.491,154000,0.53834,0.026
0.0,0.478,155000,0.52448,0.018
0.0,0.469,156000,0.51596,0.016
0.0,0.466,157000,0.51281,0.015
0.0,0.467,158000,0.51347,0.023
0.0,0.484,159000,0.53161,0.021
0.0,0.48,160000,0.52675,0.026
0.0,0.473,161000,0.5198,0.016
0.0,0.481,162000,0.52828,0.028
0.0,0.462,163000,0.50818,0.022
0.0,0.479,164000,0.52659,0.023
0.0,0.487,165000,0.53412,0.018
0.0,0.475,166000,0.52121,0.017
0.0,0.481,167000,0.52797,0.02
0.0,0.48,168000,0.5265,0.023
0.0,0.467,169000,0.51374,0.024
0.0,0.463,170000,0.50952,0.018
0.0,0.477,171000,0.52354,0.026
0.0,0.485,172000,0.53183,0.017
0.0,0.474,173000,0.52049,0.019
0.0,0.474,174000,0.52054,0.029
0.0,0.487,175000,0.53446,0.02
0.0,0.481,176000,0.52827,0.026
0.0,0.483,177000,0.52964,0.015
0.0,0.48,178000,0.52691,0.024
0.0,0.477,179000,0.52344,0.025
0.0,0.491,180000,0.53805,0.025
0.0,0.479,181000,0.52654,0.02
0.0,0.494,182000,0.54134,0.02
0.0,0.456,183000,0.50343,0.021
0.0,0.485,184000,0.53196,0.018
0.0,0.49,185000,0.53774,0.021
0.0,0.479,186000,0.52605,0.031
0.0,0.479,187000,0.52564,0.017
0.0,0.488,188000,0.53564,0.025
0.0,0.49,189000,0.5377,0.024
0.0,0.482,190000,0.52921,0.019
0.0,0.477,191000,0.52391,0.021
0.0,0.503,192000,0.55087,0.02
0.0,0.494,193000,0.54212,0.023
0.0,0.483,194000,0.53034,0.024
0.0,0.498,195000,0.54611,0.024
0.0,0.477,196000,0.52361,0.019
0.0,0.49,197000,0.5376,0.022
0.0,0.476,198000,0.52344,0.022
0.0,0.487,199000,0.53455,0.018
0.0,0.493,200000,0.54054,0.03
0.0,0.485,201000,0.53178,0.026
0.0,0.484,202000,0.53116,0.024
0.0,0.5,203000,0.5467,0.02
0.0,0.48,204000,0.52646,0.031
0.0,0.466,205000,0.51304,0.028
0.0,0.483,206000,0.53002,0.025
0.0,0.482,207000,0.52878,0.024
0.0,0.485,208000,0.53227,0.027
0.0,0.483,209000,0.52968,0.024
0.0,0.501,210000,0.54783,0.02
0.0,0.486,211000,0.53324,0.023
0.0,0.47,212000,0.51679,0.027
0.0,0.468,213000,0.51418,0.024
0.0,0.493,214000,0.53954,0.022
0.0,0.476,215000,0.52195,0.02
0.0,0.487,216000,0.53336,0.022
0.0,0.467,217000,0.51262,0.024
0.0,0.487,218000,0.53393,0.028
0.0,0.482,219000,0.52898,0.024
0.0,0.474,220000,0.52049,0.016
0.0,0.456,221000,0.50247,0.024
0.0,0.477,222000,0.52434,0.03
0.0,0.462,223000,0.50832,0.021
0.0,0.478,224000,0.52487,0.021
0.0,0.484,225000,0.53083,0.023
0.0,0.485,226000,0.53169,0.021
0.0,0.485,227000,0.53148,0.024
0.0,0.487,228000,0.53348,0.022
0.0,0.491,229000,0.53807,0.018
0.0,0.482,230000,0.52889,0.027
0.0,0.481,231000,0.52833,0.025
0.0,0.494,232000,0.5414,0.022
0.0,0.473,233000,0.51953,0.027
0.0,0.501,234000,0.54934,0.023
0.0,0.489,235000,0.53703,0.02
0.0,0.508,236000,0.55658,0.025
0.0,0.478,237000,0.5262,0.021
0.0,0.489,238000,0.53706,0.019
0.0,0.499,239000,0.54733,0.024
0.0,0.472,240000,0.51985,0.025
0.0,0.492,241000,0.54034,0.03
0.0,0.494,242000,0.54256,0.022
0.0,0.481,243000,0.52919,0.017
0.0,0.479,244000,0.52735,0.024
0.0,0.491,245000,0.53915,0.025
0.0,0.494,246000,0.54227,0.021
0.0,0.494,247000,0.54165,0.027
0.0,0.484,248000,0.53137,0.023
0.0,0.487,249000,0.5345,0.022
0.0,0.494,250000,0.54121,0.029
0.0,0.498,251000,0.54619,0.026
0.0,0.485,252000,0.53323,0.017
0.0,0.484,253000,0.53209,0.021
0.0,0.483,254000,0.53097,0.023
0.0,0.506,255000,0.55396,0.015
0.0,0.485,256000,0.5322,0.023
0.0,0.499,257000,0.54592,0.022
0.0,0.483,258000,0.53068,0.024
0.0,0.473,259000,0.52011,0.024
0.0,0.49,260000,0.53715,0.024
0.0,0.485,261000,0.5317,0.023
0.0,0.49,262000,0.53742,0.023
0.0,0.474,263000,0.52002,0.024
0.0,0.482,264000,0.52871,0.019
0.0,0.488,265000,0.53443,0.022
